source_filename,detected_product_name,product_slug,assigned_role,match_confidence,uploaded_url,published,status,notes,final_image_count,final_hero_url,removed_old_images,retained_old_images
微信图片_20260723201959_285_109.jpg,Tengwang Pavilion Cup / Package,phoenix-pattern-glass-cup,gallery-01,0.74,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/20260723/phoenix-pattern-glass-cup-20260723-gallery-01.webp,true,PUBLISHED,Visible Tengwang Pavilion packaging; existing product is the closest catalog match.,6,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/20260723/phoenix-pattern-glass-cup-20260723-hero.webp,,3
微信图片_20260723202003_286_109.jpg,Tengwang Pavilion Cup / Package,phoenix-pattern-glass-cup,gallery-02,0.74,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/20260723/phoenix-pattern-glass-cup-20260723-gallery-02.webp,true,PUBLISHED,Visible Tengwang Pavilion packaging; existing product is the closest catalog match.,6,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/20260723/phoenix-pattern-glass-cup-20260723-hero.webp,,3
微信图片_20260723202005_287_109.jpg,Tengwang Pavilion Cup / Package,phoenix-pattern-glass-cup,hero,0.74,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/20260723/phoenix-pattern-glass-cup-20260723-hero.webp,true,PUBLISHED,Visible Tengwang Pavilion packaging; existing product is the closest catalog match.,6,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/phoenix-pattern-glass-cup/20260723/phoenix-pattern-glass-cup-20260723-hero.webp,,3
微信图片_20260723202007_288_109.jpg,Turquoise / jade animal 3D eraser,turquoise-animal-3d-eraser,gallery-01,0.78,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-gallery-01.webp,true,PUBLISHED,Packaging and object views show animal 3D eraser family.,10,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-hero.webp,,4
微信图片_20260723202008_289_109.jpg,Turquoise / jade animal 3D eraser,turquoise-animal-3d-eraser,gallery-02,0.78,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-gallery-02.webp,true,PUBLISHED,Packaging and object views show animal 3D eraser family.,10,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-hero.webp,,4
微信图片_20260723202011_290_109.jpg,Turquoise / jade animal 3D eraser,turquoise-animal-3d-eraser,gallery-03,0.78,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-gallery-03.webp,true,PUBLISHED,Packaging and object views show animal 3D eraser family.,10,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-hero.webp,,4
微信图片_20260723202017_293_109.jpg,Turquoise / jade animal 3D eraser,turquoise-animal-3d-eraser,hero,0.78,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-hero.webp,true,PUBLISHED,Packaging and object views show animal 3D eraser family.,10,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-hero.webp,,4
微信图片_20260723202019_294_109.jpg,Turquoise / jade animal 3D eraser,turquoise-animal-3d-eraser,gallery-05,0.78,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-gallery-05.webp,true,PUBLISHED,Packaging and object views show animal 3D eraser family.,10,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-hero.webp,,4
微信图片_20260723202025_297_109.jpg,Turquoise / jade animal 3D eraser,turquoise-animal-3d-eraser,gallery-06,0.78,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-gallery-06.webp,true,PUBLISHED,Packaging and object views show animal 3D eraser family.,10,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/turquoise-animal-3d-eraser/20260723/turquoise-animal-3d-eraser-20260723-hero.webp,,4
微信图片_20260723202013_291_109.jpg,Shi Fa You / pink bronze package,fu-hao-owl-zun-coin-bank,gallery-01,0.82,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/fu-hao-owl-zun-coin-bank/20260723/fu-hao-owl-zun-coin-bank-20260723-gallery-01.webp,true,PUBLISHED,Existing LTPS row maps this pink package to the current slug.,7,https://pgbjgueicmpakgaaisdg.supabase.co/storage/v1/object/public/product-images/fu-hao-owl-zun-coin-bank/20260723/fu-hao-owl-zun-coin-bank-20260723-hero.webp,,3
